City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,hawaiian paradise park,19.5933,-154.9731,29.73,76,0,3.6,US,2023-09-29 23:27:11
136,balmazujvaros,47.6167,21.35,14.1,45,0,0.85,HU,2023-09-29 23:27:11
137,evanston,42.0411,-87.6901,22.62,76,20,4.63,US,2023-09-29 23:27:06
138,kudahuvadhoo,2.6708,72.8944,28.35,74,100,6.54,MV,2023-09-29 23:27:11
139,crucecita,-28.95,-58.9833,16.85,71,6,3.19,AR,2023-09-29 23:27:11
140,iskateley,67.6803,53.1512,2.41,75,100,7.3,RU,2023-09-29 23:27:12
141,kozhevnikovo,56.2589,83.9714,4.03,96,35,2.33,RU,2023-09-29 23:27:12
142,bima,-8.4667,118.7167,24.98,64,100,1.27,ID,2023-09-29 23:26:52
143,el hajeb,33.6879,-5.371,17.98,28,9,1.5,MA,2023-09-29 23:27:12
144,kismayo,-0.3582,42.5454,25.64,84,10,6.22,SO,2023-09-29 23:27:12
145,haiku-pauwela,20.9219,-156.3051,31.01,61,40,9.77,US,2023-09-29 23:27:12
146,songea,-10.6833,35.65,17.3,77,28,1.78,TZ,2023-09-29 23:27:13
147,praia da vitoria,38.7333,-27.0667,21.53,94,40,3.93,PT,2023-09-29 23:22:49
148,robertsport,6.7533,-11.3686,25.99,87,83,2.28,LR,2023-09-29 23:27:13
149,fort bragg,35.139,-79.006,22.68,80,20,2.57,US,2023-09-29 23:27:13
150,barbacoas,1.6715,-78.1398,25.67,92,71,1.46,CO,2023-09-29 23:27:13
151,kamennomostskiy,44.2983,40.1856,15.11,70,43,1.27,RU,2023-09-29 23:27:13
152,plastun,44.7561,136.2939,15.32,63,20,0.93,RU,2023-09-29 23:27:13
153,bandarbeyla,9.4942,50.8122,26.59,82,95,9.17,SO,2023-09-29 23:27:14
154,east london,-33.0153,27.9116,20.68,65,98,2.12,ZA,2023-09-29 23:27:14
155,veraval,20.9,70.3667,27.69,74,99,4.31,IN,2023-09-29 23:27:14
156,coronel dorrego,-38.7187,-61.2873,4.2,88,12,2.84,AR,2023-09-29 23:27:14
157,ribeira grande,38.5167,-28.7,19.87,94,100,2.68,PT,2023-09-29 23:27:14
158,vorkuta,67.5,64.0,-0.35,79,96,2.38,RU,2023-09-29 23:27:14
159,roccella ionica,38.322,16.4009,20.97,73,0,2.11,IT,2023-09-29 23:27:15
160,swan hill,-35.3378,143.5544,24.25,13,5,3.8,AU,2023-09-29 23:24:00
161,utrik,11.2278,169.8474,28.81,75,94,6.65,MH,2023-09-29 23:27:15
162,avarua,-21.2078,-159.775,26.03,83,75,4.63,CK,2023-09-29 23:27:15
163,taroa,8.7058,171.2275,27.35,82,98,6.07,MH,2023-09-29 23:27:15
